"counter","size","memtype","temp","opt","value"
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wb,nt,O2.4,655480409
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wc,t,O2.4,2627
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wc,nt,O2.4,433
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,unc,t,O2.4,3400
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,unc,nt,O2.4,1320
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wb,t,O2.4,655471604
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wb,nt,O2.4,655480842
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wc,t,O2.4,3713
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wc,nt,O2.4,606
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,unc,t,O2.4,2721
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,unc,nt,O2.4,2777
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wb,t,O2.4,655471188
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wb,nt,O2.4,655481824
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wc,t,O2.4,2322
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wc,nt,O2.4,301
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,unc,t,O2.4,2692
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,unc,nt,O2.4,2433
L1D_PEND_MISS:FB_FULL,small,wb,t,O2.4,1521976342
L1D_PEND_MISS:FB_FULL,small,wb,nt,O2.4,615561291
L1D_PEND_MISS:FB_FULL,small,wc,t,O2.4,0
L1D_PEND_MISS:FB_FULL,small,wc,nt,O2.4,4330464554
L1D_PEND_MISS:FB_FULL,small,unc,t,O2.4,0
L1D_PEND_MISS:FB_FULL,small,unc,nt,O2.4,0
L1D_PEND_MISS:FB_FULL,small,wb,t,O2.4,1445259125
L1D_PEND_MISS:FB_FULL,small,wb,nt,O2.4,596780758
L1D_PEND_MISS:FB_FULL,small,wc,t,O2.4,0
L1D_PEND_MISS:FB_FULL,small,wc,nt,O2.4,4305305135
L1D_PEND_MISS:FB_FULL,small,unc,t,O2.4,0
L1D_PEND_MISS:FB_FULL,small,unc,nt,O2.4,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,wb,t,O2.4,1750516224
L1D_PEND_MISS:REQUEST_FB_FULL,small,wb,nt,O2.4,635367262
L1D_PEND_MISS:REQUEST_FB_FULL,small,wc,t,O2.4,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,wc,nt,O2.4,6376335878
L1D_PEND_MISS:REQUEST_FB_FULL,small,unc,t,O2.4,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,unc,nt,O2.4,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,wb,t,O2.4,1654581571
L1D_PEND_MISS:REQUEST_FB_FULL,small,wb,nt,O2.4,634438611
L1D_PEND_MISS:REQUEST_FB_FULL,small,wc,t,O2.4,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,wc,nt,O2.4,6342783072
L1D_PEND_MISS:REQUEST_FB_FULL,small,unc,t,O2.4,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,unc,nt,O2.4,0
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wb,t,O2.4,654753901
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wb,nt,O2.4,654912034
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wc,t,O2.4,3
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wc,nt,O2.4,6
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,unc,t,O2.4,4
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,unc,nt,O2.4,3
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wb,t,O2.4,654938558
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wb,nt,O2.4,654912845
