"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"901","102",901,"102.8","6","10","tt",".8"
"903","62",903,"62.8","6","0","tt",".8"
"908","109",908,"109.8","5","12","tt",".8"
"910","79",910,"79.8","7","4","tt",".8"
"911","80",911,"80.8","8","4","tt",".8"
"912","84",912,"84.8","8","5","tt",".8"
"915","76",915,"76.8","8","3","tt",".8"
"916","97",916,"97.8","5","9","tt",".8"
"917","101",917,"101.8","5","10","tt",".8"
"918","88",918,"88.8","8","6","tt",".8"
"920","68",920,"68.8","8","1","tt",".8"
"922","91",922,"91.8","7","7","tt",".8"
"923","105",923,"105.8","5","11","tt",".8"
"926","63",926,"63.8","7","0","tt",".8"
"928","70",928,"70.8","6","2","tt",".8"
"930","115",930,"115.8","7","13","tt",".8"
"933","117",933,"117.8","5","14","tt",".8"
"939","65",939,"65.8","5","1","tt",".8"
"940","74",940,"74.8","6","3","tt",".8"
"943","108",943,"108.8","8","11","tt",".8"
"945","100",945,"100.8","8","9","tt",".8"
"947","93",947,"93.8","5","8","tt",".8"
"948","98",948,"98.8","6","9","tt",".8"
"949","112",949,"112.8","8","12","tt",".8"
"951","99",951,"99.8","7","9","tt",".8"
"953","111",953,"111.8","7","12","tt",".8"
"955","94",955,"94.8","6","8","tt",".8"
"958","95",958,"95.8","7","8","tt",".8"
"959","89",959,"89.8","5","7","tt",".8"
"963","117",963,"117.9","5","14","tt",".9"
"964","81",964,"81.9","5","5","tt",".9"
"965","100",965,"100.9","8","9","tt",".9"
"966","99",966,"99.9","7","9","tt",".9"
"967","96",967,"96.9","8","8","tt",".9"
"970","95",970,"95.9","7","8","tt",".9"
"971","69",971,"69.9","5","2","tt",".9"
"972","118",972,"118.9","6","14","tt",".9"
"973","114",973,"114.9","6","13","tt",".9"
"976","77",976,"77.9","5","4","tt",".9"
"981","101",981,"101.9","5","10","tt",".9"
"982","68",982,"68.9","8","1","tt",".9"
"986","112",986,"112.9","8","12","tt",".9"
"987","67",987,"67.9","7","1","tt",".9"
"990","90",990,"90.9","6","7","tt",".9"
"991","72",991,"72.9","8","2","tt",".9"
"992","76",992,"76.9","8","3","tt",".9"
"994","103",994,"103.9","7","10","tt",".9"
"998","116",998,"116.9","8","13","tt",".9"
"1000","70",1000,"70.9","6","2","tt",".9"
"1001","66",1001,"66.9","6","1","tt",".9"
"1005","82",1005,"82.9","6","5","tt",".9"
"1007","85",1007,"85.9","5","6","tt",".9"
"1009","91",1009,"91.9","7","7","tt",".9"
"1015","104",1015,"104.9","8","10","tt",".9"
"1016","92",1016,"92.9","8","7","tt",".9"
"1019","84",1019,"84.9","8","5","tt",".9"
"1022","120",1022,"120.9","8","14","tt",".9"
"1023","108",1023,"108.9","8","11","tt",".9"
"1024","80",1024,"80.9","8","4","tt",".9"
"1030","89",1030,"89.9","5","7","tt",".9"
"1031","62",1031,"62.9","6","0","tt",".9"
"1033","98",1033,"98.9","6","9","tt",".9"
"1034","93",1034,"93.9","5","8","tt",".9"
"1036","83",1036,"83.9","7","5","tt",".9"
