"sizea","temp","Blocks","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
524288,16,nt,6382518171,488691,48449,8866,301,288
7168,16,tt,3549751031,591001546,44102578,7729,322,289
262144,16,tt,4995553693,252195451,252186260,9472,297,281
65536,16,tt,4730311158,252186658,235301957,7752,304,290
5120,16,nt,23577987967,821,471,9258,315,296
65536,16,nt,6439805556,18154,14862,8375,320,287
7168,16,nt,15221621383,920,612,9379,314,286
7168,16,tt,3503179426,591001789,40396212,8392,302,292
4096,16,tt,4877669898,1023252033,265227,7237,313,292
6144,16,tt,3941484063,740307569,23749909,8423,309,292
12288,16,nt,11760087504,1712,1111,9219,311,293
2048,16,nt,27395098935,215,54,8360,313,290
3072,16,tt,4916500981,1031259194,321020,8435,325,288
262144,16,nt,6392227344,486205,12642,8740,318,295
32768,16,tt,4904367600,290524386,234230166,8321,313,291
65536,16,nt,6433700950,10611,4349,8469,302,293
2048,16,tt,4991095803,1047364532,196299,8911,297,277
12288,16,tt,4940734286,457037104,180291688,7486,313,294
65536,16,tt,4730261673,252185340,235327619,8738,310,290
16384,16,tt,4895648670,371674429,206474734,8271,311,289
131072,16,nt,6407396032,123017,8915,8801,317,292
5120,16,tt,4591905860,913894495,14203847,7941,314,290
8192,16,tt,4036477495,577196388,78256539,7997,318,294
8192,16,nt,14912175684,639,281,9671,338,297
32768,16,nt,7450609498,3891,2547,7945,300,288
131072,16,tt,4963749489,252193301,250065339,8720,315,285
262144,16,tt,4996220142,252193141,252183963,9893,315,292
524288,16,tt,4985752834,252195741,252188130,10611,316,294
5120,16,nt,23624990830,549,117,8844,307,291
4096,16,nt,26612255334,643,310,8031,320,286
16384,16,nt,9568527663,921,330,8450,320,291
524288,16,nt,6382786002,488813,62383,8979,307,291
6144,16,nt,19143170434,952,701,8388,317,290
3072,16,nt,26980006979,383,122,9100,318,294
2048,16,nt,27442700529,246,56,8295,317,286
8192,16,nt,14844395818,878,304,9011,324,291
12288,16,nt,11769979964,1810,1085,9695,307,280
12288,16,tt,4921569332,457037600,179366651,8096,312,286
262144,16,tt,4996508195,252194627,252185313,9217,318,288
6144,16,tt,3878400742,740307398,20888825,7409,306,287
3072,16,nt,26820806074,413,106,9147,310,289
