"sizea","temp","Blocks","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
7168,16,nt,15225067154,842,485,8998,314,283
4096,16,tt,4985600772,1023247360,7277158,8670,309,287
4096,16,nt,26685338339,529,240,8080,328,287
8192,16,tt,4038429020,577195444,77692610,8169,310,282
32768,16,tt,4961685616,290524957,234187394,10034,314,289
32768,16,nt,7450549828,3084,2107,10580,323,289
65536,16,nt,6433426758,6567,1277,9492,312,288
262144,16,nt,6392650320,484963,26886,8240,319,288
16384,16,nt,9569262823,1173,478,8378,309,291
7168,16,tt,3504858953,591001293,41579836,8486,316,293
2048,16,tt,4990184549,1047364516,151985,8037,304,288
3072,16,tt,4913828148,1031262434,168917,7929,311,288
5120,16,nt,23498921392,624,205,8999,312,294
8192,16,tt,3944713265,577195294,72167832,8008,315,285
262144,16,nt,6392274740,480358,27549,9977,307,290
6144,16,tt,3952338149,740307461,25062237,7590,311,288
3072,16,nt,27115157605,326,88,8156,310,288
65536,16,nt,6433714421,7227,4532,8810,319,289
7168,16,tt,3722765157,591002280,52731968,7426,306,284
524288,16,nt,6382053280,490010,53269,9727,317,287
5120,16,tt,4576835839,913894430,13086499,8721,325,290
131072,16,tt,4967161190,252195670,250034128,9562,307,294
2048,16,tt,4991304178,1047364531,207790,8456,315,293
65536,16,tt,4752608650,252185195,235354651,8266,323,283
16384,16,tt,4955605211,371674762,206476393,8243,311,290
