"prefetch","size","memtyp","temp","app","displaysize","cycles","l3m","l3l"
off,small,wb,nt,memory_load_ind, 32768KB,10.426.318.206,507.248.874,525.712.287
off,small,wb,nt,memory_load_ind, 16384KB,7.513.087.085,305.173.691,525.908.042
off,small,wb,nt,memory_load_ind, 8192KB,3.743.990.147,71.013.625,525.412.933
off,small,wb,nt,memory_load_ind, 4096KB,2.522.356.630,397.022,524.354.495
off,small,wb,nt,memory_load_ind, 2048KB,2.540.963.693,23.150,524.320.852
off,small,wb,nt,memory_load_ind, 1024KB,2.540.550.174,14.482,524.318.732
off,small,wb,nt,memory_load_ind, 512KB,2.537.672.077,5.268,524.316.153
off,small,wb,nt,memory_load_ind, 256KB,2.097.403.772,5.254,360.301.341
off,small,wb,nt,memory_load_dep, 32768KB,107.688.399.520,512.452.278,526.954.286
off,small,wb,nt,memory_load_dep, 16384KB,103.001.906.963,483.751.410,526.898.482
off,small,wb,nt,memory_load_dep, 8192KB,93.231.687.940,424.710.617,526.721.249
off,small,wb,nt,memory_load_dep, 4096KB,74.131.422.485,315.400.185,525.997.173
off,small,wb,nt,memory_load_dep, 2048KB,17.681.918.336,86.950,524.488.201
off,small,wb,nt,memory_load_dep, 1024KB,17.649.986.493,48.527,524.503.024
